seed,hw,area,graph,method,makespan
0,0.7,0.1,squeezenet,jade,9466.81381582347
0,0.7,0.1,squeezenet,random,9466.81381582347
0,0.7,0.1,squeezenet,shade,9466.81381582347
0,0.7,0.3,resnet,ccpso,18629.163527484412
0,0.7,0.3,resnet,clpso,18629.163527484412
0,0.7,0.3,resnet,esa,18629.163527484412
0,0.7,0.3,resnet,gl25,18629.163527484412
0,0.7,0.3,resnet,greedy,23395.91433978032
0,0.7,0.3,resnet,jade,18629.163527484412
0,0.7,0.3,resnet,random,18629.163527484412
0,0.7,0.3,resnet,shade,18629.163527484412
0,0.7,0.3,squeezenet,ccpso,9466.81381582347
0,0.7,0.3,squeezenet,clpso,9466.81381582347
0,0.7,0.3,squeezenet,esa,9466.81381582347
0,0.7,0.3,squeezenet,gl25,9466.81381582347
0,0.7,0.3,squeezenet,greedy,13255.082570073204
0,0.7,0.3,squeezenet,jade,9466.81381582347
0,0.7,0.3,squeezenet,random,9466.81381582347
0,0.7,0.3,squeezenet,shade,9466.81381582347
0,0.7,0.5,resnet,ccpso,18629.163527484412
0,0.7,0.5,resnet,clpso,18629.163527484412
0,0.7,0.5,resnet,esa,18629.163527484412
0,0.7,0.5,resnet,gl25,14877.313262357866
0,0.7,0.5,resnet,greedy,23590.170225912112
0,0.7,0.5,resnet,jade,18629.163527484412
0,0.7,0.5,resnet,random,18629.163527484412
0,0.7,0.5,resnet,shade,18629.163527484412
0,0.7,0.5,squeezenet,ccpso,9466.81381582347
0,0.7,0.5,squeezenet,clpso,9466.81381582347
0,0.7,0.5,squeezenet,esa,8411.608369816231
0,0.7,0.5,squeezenet,gl25,8368.844081838048
0,0.7,0.5,squeezenet,greedy,12016.874064392307
0,0.7,0.5,squeezenet,jade,9466.81381582347
0,0.7,0.5,squeezenet,random,9466.81381582347
0,0.7,0.5,squeezenet,shade,9466.81381582347
0,0.7,0.7,resnet,ccpso,18629.163527484412
0,0.7,0.7,resnet,clpso,18629.163527484412
0,0.7,0.7,resnet,esa,18629.163527484412
0,0.7,0.7,resnet,gl25,13539.428872104094
0,0.7,0.7,resnet,greedy,19229.40160002473
0,0.7,0.7,resnet,jade,18629.163527484412
0,0.7,0.7,resnet,random,18629.163527484412
0,0.7,0.7,resnet,shade,18629.163527484412
0,0.7,0.7,squeezenet,ccpso,9466.81381582347
0,0.7,0.7,squeezenet,clpso,9466.81381582347
0,0.7,0.7,squeezenet,esa,9466.81381582347
0,0.7,0.7,squeezenet,gl25,6105.612916950199
0,0.7,0.7,squeezenet,greedy,10964.451662676538
0,0.7,0.7,squeezenet,jade,8848.968540449394
0,0.7,0.7,squeezenet,random,9466.81381582347
0,0.7,0.7,squeezenet,shade,9466.81381582347
0,0.7,0.9,resnet,ccpso,18629.163527484412
0,0.7,0.9,resnet,clpso,18629.163527484412
0,0.7,0.9,resnet,esa,18629.163527484412
0,0.7,0.9,resnet,gl25,13433.429485057335
0,0.7,0.9,resnet,greedy,11516.482209280322
