,hw,area,graph,method,mean_makespan,std_makespan
346,0.9,0.3,squeezenet,esa,9098.235152160398,306.4950657866547
347,0.9,0.3,squeezenet,gl25,9098.235152160398,306.4950657866547
348,0.9,0.3,squeezenet,greedy,13734.87951279675,535.3735416059037
349,0.9,0.3,squeezenet,jade,9098.235152160398,306.4950657866547
350,0.9,0.3,squeezenet,random,9098.235152160398,306.4950657866547
351,0.9,0.3,squeezenet,shade,9098.235152160398,306.4950657866547
352,0.9,0.5,resnet,ccpso,18418.485044850837,224.13603035577083
353,0.9,0.5,resnet,clpso,18418.485044850837,224.13603035577083
354,0.9,0.5,resnet,esa,18418.485044850837,224.13603035577083
355,0.9,0.5,resnet,gl25,17807.139126072998,906.7723172337471
356,0.9,0.5,resnet,greedy,25890.776914909024,968.7958808045217
357,0.9,0.5,resnet,jade,18418.485044850837,224.13603035577083
358,0.9,0.5,resnet,random,18418.485044850837,224.13603035577083
359,0.9,0.5,resnet,shade,18418.485044850837,224.13603035577083
360,0.9,0.5,squeezenet,ccpso,9098.235152160398,306.4950657866547
361,0.9,0.5,squeezenet,clpso,9098.235152160398,306.4950657866547
362,0.9,0.5,squeezenet,esa,8426.290159468808,731.0313108663399
363,0.9,0.5,squeezenet,gl25,8286.026009165782,688.457475119374
364,0.9,0.5,squeezenet,greedy,13548.211027031148,450.0691354776461
365,0.9,0.5,squeezenet,jade,9098.235152160398,306.4950657866547
366,0.9,0.5,squeezenet,random,9098.235152160398,306.4950657866547
367,0.9,0.5,squeezenet,shade,9098.235152160398,306.4950657866547
368,0.9,0.7,resnet,ccpso,18418.485044850837,224.13603035577083
369,0.9,0.7,resnet,clpso,18418.485044850837,224.13603035577083
370,0.9,0.7,resnet,esa,18418.485044850837,224.13603035577083
371,0.9,0.7,resnet,gl25,14950.190135358214,1268.5617094794513
372,0.9,0.7,resnet,greedy,23450.43759615678,706.559793196937
373,0.9,0.7,resnet,jade,18418.485044850837,224.13603035577083
374,0.9,0.7,resnet,random,18418.485044850837,224.13603035577083
375,0.9,0.7,resnet,shade,18418.485044850837,224.13603035577083
376,0.9,0.7,squeezenet,ccpso,9098.235152160398,306.4950657866547
377,0.9,0.7,squeezenet,clpso,9098.235152160398,306.4950657866547
378,0.9,0.7,squeezenet,esa,9098.235152160398,306.4950657866547
379,0.9,0.7,squeezenet,gl25,7089.291632306067,745.038416197212
380,0.9,0.7,squeezenet,greedy,11009.428050695085,182.70048349965626
381,0.9,0.7,squeezenet,jade,9098.235152160398,306.4950657866547
382,0.9,0.7,squeezenet,random,9098.235152160398,306.4950657866547
383,0.9,0.7,squeezenet,shade,9098.235152160398,306.4950657866547
384,0.9,0.9,resnet,ccpso,18418.485044850837,224.13603035577083
385,0.9,0.9,resnet,clpso,18418.485044850837,224.13603035577083
386,0.9,0.9,resnet,esa,18418.485044850837,224.13603035577083
387,0.9,0.9,resnet,gl25,14897.641330699062,1564.6886487783004
388,0.9,0.9,resnet,greedy,16553.131983616157,978.6576637288999
389,0.9,0.9,resnet,jade,18418.485044850837,224.13603035577083
390,0.9,0.9,resnet,random,18418.485044850837,224.13603035577083
391,0.9,0.9,resnet,shade,18418.485044850837,224.13603035577083
392,0.9,0.9,squeezenet,ccpso,9098.235152160398,306.4950657866547
393,0.9,0.9,squeezenet,clpso,9098.235152160398,306.4950657866547
394,0.9,0.9,squeezenet,esa,9098.235152160398,306.4950657866547
395,0.9,0.9,squeezenet,gl25,7102.3292032074605,824.4319253698801
396,0.9,0.9,squeezenet,greedy,7939.682408062019,354.0754144774667
